,Régions,Nouveaux Cas,Décès,Régions Ar
0,Région Grand Casablanca-Settat,2328,18,جهة الدار البيضاء سطات
1,Casablanca,1724,13,الدار البيضاء
2,Mohammadia,162,0,المحمدية
3,Nouaceur,102,1,النواصر
4,Settat,93,0,سطات
5,Médiouna,75,0,مديونة
6,Berrechid,70,4,برشيد
7,El Jadida,69,0,الجديدة
8,Sidi Bennour,24,0,سيدي بنور
9,Benslimane,9,0,بن سليمان
10,Région Rabat - Salé-Kenitra,945,16,جهة الرباط سلا القنيطرة
11,Salé,377,3,سلا
12,Skhirate- Témara,235,5,الصخيات-تمارة
13,Sidi Slimane,117,0,سيدي سليمان
14,Rabat,89,2,الرباط
15,Kénitra,82,3,القنيطرة
16,Sidi Kacem,26,0,سيدي قاسم
17,Khémisset,19,3,الخميسات
18,Région Tanger -Tétouan- Al Hoceima,541,10,جهة طنجة تطوان الحسيمة
19,Tanger-Assilah,224,3,طنجة-أصيلة
20,M'Diq-Fnideq,71,1,المضيق الفنيدق
21,Larache,66,2,العرائش
22,Tétouan,62,0,تطوان
23,Al Hoceima,57,0,الحسيمة
24,Ouezzane,52,3,وزان
25,Chefchaouen,8,1,شفشاون
26,Fahs Anjra,1,0,الفحص أنجرة
27,Région de l'Oriental,511,13,جهة الشق
28,Oujda-Angad,179,7,وجدة - أنجاد
29,Berkane,121,1,بركان
30,Nador,106,1,الناظور
31,Taourirt,48,1,تاوريرت
32,Jerada,31,0,جرادة
33,Driouch,25,1,الدريوش
34,Guercif,1,1,جرسيف
35,Figuig,0,1,فجيج
36,Région Souss - Massa,373,3,جهة سوس ماسة
37,Agadir-Ida -Ou-Tanane,233,0,أكادير إدا وتنان
38,Inezgane- Ait Melloul,48,0,إنزكان آيت ملول
39,Tiznit,31,0,تزنيت
40,Tata,28,0,طاطا
41,Chtouka- Ait Baha,23,1,اشتوكة آيت باها
42,Taroudannt,10,2,تارودانت
43,Région Marrakech- Safi,179,7,جهة مراكش آسف
44,Marrakech,121,4,مراكش
45,Essaouira,16,1,الصويرة
46,El Kelâa des  Sraghna,14,0,قلعة السراغنة
47,Youssoufia,12,1,اليوسفية
48,Safi,10,0,آسف
49,Chichaoua,0,1,شيشاوة
50,Rehamna,6,0,الرحامنة
51,Région Fès - Meknès,126,5,جهة فاس مكناس
52,Taza,42,0,تازة
53,Fès,29,1,فاس
54,Sefrou,23,1,صفرو
55,Boulemane,16,0,بولمان
56,Meknès,15,1,مكناس
57,Taounate,1,1,تاونات
58,Ifrane,0,1,إفران
59,Région Laâyoune - Sakia El Hamra,119,0,جهة العيون الساقية الحمراء
60,Laâyoune,104,0,العيون
61,Boujdour,7,0,بوجدور
62,Tarfaya,4,0,طرفاية
63,Es-Semara,4,0,السمارة
64,Région Darâa-Tafilalet,109,3,جهة درعة تافيلالت
65,Errachidia,65,2,الرشيدية
66,Tinghir,19,0,تنغي
67,Ouarzazate,13,1,ورززات
68,Zagora,12,0,زاكورة
69,Région Guelmim –Oued Noun,83,2,جهة كلميم واد نون
70,Guelmim,72,1,كلميم
71,Tan Tan,5,1,طان طان
72,Sidi Ifni,3,0,سيدي إفن
73,Assa-Zag,3,0,آسا الزاك
74,Région Beni Mellal- Khénifra,77,4,جهة بن ملال خنيفرة
75,Fquih Ben Salah,24,0,الفقيه بن صالح
76,Béni Mellal,24,0,بن ملال
77,Khouribga,17,4,خريبكة
78,Azilal,11,0,أزيلال
79,Khénifra,1,0,خنيفرة
80,Région Dakhla-Oued Eddahab,24,1,جهة الداخلة وادي الذهب
81,Oued Ed-Dahab,24,1,وادي الذهب
