,Régions,Nouveaux Cas,Décès,Régions Ar
3,Région Grand Casablanca-Settat,2409,21,جهة الدار البيضاء سطات
4,Casablanca,1931,21,الدار البيضاء
5,Nouaceur,96,0,النواصر
6,El Jadida,90,0,الجديدة
7,Mohammadia,78,0,المحمدية
8,Settat,67,0,سطات
9,Médiouna,58,0,مديونة
10,Berrechid,48,0,برشيد
11,Benslimane,23,0,بن سليمان
12,Sidi Bennour,18,0,سيدي بنور
13,Région Rabat - Salé-Kenitra,1060,11,جهة الرباط سلا القنيطرة
14,Salé,284,9,سلا
15,Skhirate- Témara,273,0,الصخيات-تمارة
16,Kénitra,211,0,القنيطرة
17,Sidi Kacem,100,0,سيدي قاسم
18,Rabat,95,1,الرباط
19,Khémisset,93,0,الخميسات
20,Sidi Slimane,4,1,سيدي سليمان
21,Région de l'Oriental,686,11,جهة الشق
22,Oujda-Angad,336,4,وجدة - أنجاد
23,Berkane,90,1,بركان
24,Guercif,86,0,جرسيف
25,Nador,77,3,الناظور
26,Jerada,42,2,جرادة
27,Driouch,32,0,الدريوش
28,Taourirt,19,0,تاوريرت
29,Figuig,4,1,فجيج
30,Région Souss - Massa,501,1,جهة سوس ماسة
31,Agadir-Ida -Ou-Tanane,285,0,أكادير إدا وتنان
32,Inezgane- Ait Melloul,119,0,إنزكان آيت ملول
33,Taroudannt,52,0,تارودانت
34,Tata,23,0,طاطا
35,Tiznit,12,1,تزنيت
36,Chtouka- Ait Baha,10,0,اشتوكة آيت باها
37,Région Tanger -Tétouan- Al Hoceima,381,10,جهة طنجة تطوان الحسيمة
38,Tanger-Assilah,136,1,طنجة-أصيلة
39,Larache,44,2,العرائش
40,Al Hoceima,41,2,الحسيمة
41,Chefchaouen,41,1,شفشاون
42,Tétouan,40,3,تطوان
43,M'Diq-Fnideq,40,0,المضيق الفنيدق
44,Ouezzane,38,1,وزان
45,Fahs Anjra,1,0,الفحص أنجرة
46,Région Marrakech- Safi,289,3,جهة مراكش آسف
47,Marrakech,200,2,مراكش
48,Youssoufia,30,0,اليوسفية
49,Rehamna,16,0,الرحامنة
50,Essaouira,15,0,الصويرة
51,El Kelâa des  Sraghna,10,1,قلعة السراغنة
52,Al  Haouz,10,0,الحوز
53,Safi,8,0,آسف
54,Région Beni Mellal- Khénifra,176,6,جهة بن ملال خنيفرة
55,Khouribga,67,2,خريبكة
56,Fquih Ben Salah,51,3,الفقيه بن صالح
57,Khénifra,25,0,خنيفرة
58,Béni Mellal,18,1,بن ملال
59,Azilal,15,0,أزيلال
60,Région Darâa-Tafilalet,103,2,جهة درعة تافيلالت
61,Midelt,43,0,ميدلت
62,Errachidia,28,2,الرشيدية
63,Tinghir,18,0,تنغي
64,Ouarzazate,8,0,ورززات
65,Zagora,6,0,زاكورة
66,Région Fès - Meknès,93,2,جهة فاس مكناس
67,Fès,34,0,فاس
68,Sefrou,14,0,صفرو
69,Meknès,12,0,مكناس
70,Boulemane,11,1,بولمان
71,Taza,7,0,تازة
72,El  Hajeb,6,0,الحاجب
73,Taounate,6,1,تاونات
74,Ifrane,3,0,إفران
75,Région Guelmim –Oued Noun,66,1,جهة كلميم واد نون
76,Guelmim,43,1,كلميم
77,Tan Tan,14,0,طان طان
78,Sidi Ifni,7,0,سيدي إفن
79,Assa-Zag,2,0,آسا الزاك
80,Région Laâyoune - Sakia El Hamra,45,1,جهة العيون الساقية الحمراء
81,Laâyoune,40,0,العيون
82,Boujdour,4,1,بوجدور
83,Tarfaya,1,0,طرفاية
84,Région Dakhla-Oued Eddahab,27,1,جهة الداخلة وادي الذهب
85,Oued Ed-Dahab,27,1,وادي الذهب
