,Régions,Nouveaux Cas,Décès,Régions Ar
0,Région Grand Casablanca-Settat,2381,12,جهة الدار البيضاء سطات
1,Casablanca,1898,11,الدار البيضاء
2,Nouaceur,184,0,النواصر
3,El Jadida,67,0,الجديدة
4,Mohammadia,60,0,المحمدية
5,Médiouna,44,0,مديونة
6,Settat,42,0,سطات
7,Berrechid,40,1,برشيد
8,Benslimane,24,0,بن سليمان
9,Sidi Bennour,22,0,سيدي بنور
10,Région Rabat - Salé-Kenitra,1209,14,جهة الرباط سلا القنيطرة
11,Salé,447,4,سلا
12,Skhirate- Témara,269,1,الصخيات-تمارة
13,Kénitra,191,1,القنيطرة
14,Rabat,122,2,الرباط
15,Sidi Kacem,108,2,سيدي قاسم
16,Khémisset,44,3,الخميسات
17,Sidi Slimane,28,1,سيدي سليمان
18,Région Tanger -Tétouan- Al Hoceima,458,4,جهة طنجة تطوان الحسيمة
19,Tanger-Assilah,202,0,طنجة-أصيلة
20,Tétouan,71,2,تطوان
21,Larache,59,0,العرائش
22,Al Hoceima,48,0,الحسيمة
23,M'Diq-Fnideq,38,0,المضيق الفنيدق
24,Chefchaouen,33,1,شفشاون
25,Ouezzane,7,1,وزان
26,Région Marrakech- Safi,220,6,جهة مراكش آسف
27,Marrakech,161,4,مراكش
28,El Kelâa des  Sraghna,24,0,قلعة السراغنة
29,Essaouira,23,0,الصويرة
30,Rehamna,6,0,الرحامنة
31,Youssoufia,4,2,اليوسفية
32,Safi,2,0,آسف
33,Région Souss - Massa,206,4,جهة سوس ماسة
34,Agadir-Ida -Ou-Tanane,109,1,أكادير إدا وتنان
35,Inezgane- Ait Melloul,51,1,إنزكان آيت ملول
36,Tata,27,1,طاطا
37,Taroudannt,14,0,تارودانت
38,Tiznit,4,1,تزنيت
39,Chtouka- Ait Baha,1,0,اشتوكة آيت باها
40,Région Darâa-Tafilalet,143,2,جهة درعة تافيلالت
41,Errachidia,68,2,الرشيدية
42,Midelt,63,0,ميدلت
43,Zagora,7,0,زاكورة
44,Ouarzazate,5,0,ورززات
45,Région de l'Oriental,139,13,جهة الشق
46,Oujda-Angad,88,5,وجدة - أنجاد
47,Nador,22,2,الناظور
48,Berkane,21,0,بركان
49,Guercif,2,1,جرسيف
50,Taourirt,6,2,تاوريرت
51,Jerada,0,3,جرادة
52,Région Beni Mellal- Khénifra,133,4,جهة بن ملال خنيفرة
53,Khouribga,54,2,خريبكة
54,Béni Mellal,38,0,بن ملال
55,Fquih Ben Salah,19,0,الفقيه بن صالح
56,Azilal,13,0,أزيلال
57,Khénifra,9,2,خنيفرة
58,Région Laâyoune - Sakia El Hamra,109,0,جهة العيون الساقية الحمراء
59,Laâyoune,100,0,العيون
60,Tarfaya,8,0,طرفاية
61,Boujdour,1,0,بوجدور
62,Région Fès - Meknès,100,8,جهة فاس مكناس
63,Fès,25,1,فاس
64,Taza,20,3,تازة
65,Boulemane,14,0,بولمان
66,Sefrou,14,0,صفرو
67,Meknès,13,2,مكناس
68,Taounate,10,1,تاونات
69,El  Hajeb,3,0,الحاجب
70,Ifrane,1,1,إفران
71,Région Guelmim –Oued Noun,79,2,جهة كلميم واد نون
72,Guelmim,58,2,كلميم
73,Assa-Zag,10,0,آسا الزاك
74,Tan Tan,7,0,طان طان
75,Sidi Ifni,4,0,سيدي إفن
76,Région Dakhla-Oued Eddahab,37,0,جهة الداخلة وادي الذهب
77,Oued Ed-Dahab,37,0,وادي الذهب
